"CHART","VAR","SEXF","HTCMGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","HTWT",1,"[50,51)",0.361549127,3.48922017,0.103402703,2.852008338,2.92747924,3.046162798,3.251250865,3.48922017,3.738025406,3.971395567,4.115400222,4.210681986
"CDC","HTWT",1,"[51,52)",0.116436203,3.723195489,0.099599651,3.08077988,3.155581427,3.273900839,3.480372197,3.723195489,3.980867931,4.2261236,4.37920066,4.481218409
"CDC","HTWT",1,"[52,53)",-0.152509094,3.961034945,0.096830356,3.309743456,3.384266533,3.502832371,3.71180166,3.961034945,4.229754129,4.489708217,4.654076004,4.76453627
"CDC","HTWT",1,"[53,54)",-0.421478627,4.202270022,0.09480477,3.538486235,3.613206007,3.732716377,3.945306087,4.202270022,4.483693775,4.760455514,4.937828528,5.058090815
"CDC","HTWT",1,"[54,55)",-0.671388289,4.446476028,0.093323068,3.766648425,3.842082114,3.963283111,4.180622529,4.446476028,4.741844038,5.036873117,5.228445091,5.359480791
"CDC","HTWT",1,"[55,56)",-0.889973526,4.693220151,0.092246459,3.99394852,4.070613878,4.194251416,4.417443974,4.693220151,5.003447846,5.317643817,5.524112903,5.666497508
"CDC","HTWT",1,"[56,57)",-1.071844454,4.942029343,0.091473166,4.22019582,4.298576091,4.425349217,4.65542253,4.942029343,5.267777008,5.601587401,5.823223715,5.977171656
"CDC","HTWT",1,"[57,58)",-1.216671445,5.192403337,0.090923715,4.445271101,4.525795306,4.656327074,4.894194501,5.192403337,5.534118638,5.887634175,6.124358847,6.289778737
"CDC","HTWT",1,"[58,59)",-1.327360462,5.443830096,0.090532906,4.669110719,4.75214371,4.886964606,5.133398784,5.443830096,5.801772695,6.174806785,6.426273604,6.602835746
"CDC","HTWT",1,"[59,60)",-1.408261687,5.69581328,0.090246768,4.891682562,4.977524782,5.117070202,5.372695342,5.69581328,6.070070759,6.462216757,6.72787876,6.91507564
"CDC","HTWT",1,"[60,61)",-1.464051065,5.947889759,0.090021128,5.112971092,5.201863101,5.34647836,5.611774363,5.947889759,6.33839139,6.749065162,7.028227249,7.225424353
"CDC","HTWT",1,"[61,62)",-1.499105627,6.199640267,0.089820688,5.332968047,5.42509726,5.57504651,5.850360248,6.199640267,6.606171625,7.034644746,7.326504329,7.532980555
"CDC","HTWT",1,"[62,63)",-1.517197913,6.450695818,0.089618171,5.551666409,5.64717487,5.80265208,6.088213081,6.450695818,6.872915135,7.318342,7.622019771,7.836997958
"CDC","HTWT",1,"[63,64)",-1.521479703,6.700736725,0.089393174,5.769060531,5.868051772,6.029190763,6.325126546,6.700736725,7.138192567,7.59963607,7.914202723,8.136875366
"CDC","HTWT",1,"[64,65)",-1.514481331,6.949493534,0.089131254,5.985144406,6.08769022,6.254574837,6.560927184,6.949493534,7.401643498,7.878098236,8.202595917,8.432144771
"CDC","HTWT",1,"[65,66)",-1.498204976,7.196744733,0.088822943,6.199912645,6.306059022,6.478732239,6.795472337,7.196744733,7.662974516,8.15338936,8.486850867,8.722463522
"CDC","HTWT",1,"[66,67)",-1.474231858,7.442313819,0.088462854,6.413361985,6.523134146,6.701605945,7.028648027,7.442313819,7.921956215,8.425256531,8.766723181,9.00760766
"CDC","HTWT",1,"[67,68)",-1.443808911,7.686067039,0.088048963,6.625492182,6.738899009,6.923153436,7.260367355,7.686067039,8.17842062,8.693529674,9.04206755,9.287464886
"CDC","HTWT",1,"[68,69)",-1.407959107,7.92790936,0.087581916,6.836308446,6.953345818,7.143346471,7.49056809,7.92790936,8.432256562,8.958117069,9.312833279,9.562029761
"CDC","HTWT",1,"[69,70)",-1.367521025,8.167783677,0.087064605,7.045821054,7.166475096,7.362170518,7.719212002,8.167783677,8.683408324,9.219002186,9.579058661,9.831395513
"CDC","HTWT",1,"[70,71)",-1.32324327,8.405666621,0.086501667,7.254047943,7.378297165,7.579624634,7.946282454,8.405666621,8.931870645,9.47623884,9.840866488,10.09574977
"CDC","HTWT",1,"[71,72)",-1.275834578,8.641566305,0.085899159,7.461015613,7.588832522,7.795721098,8.171783008,8.641566305,9.177685743,9.729947188,10.09845888,10.35536822
"CDC","HTWT",1,"[72,73)",-1.226014257,8.875519723,0.085264271,7.666760352,7.798112411,8.010485082,8.395735838,8.875519723,9.420939935,9.980309503,10.3521122,10.61060874
"CDC","HTWT",1,"[73,74)",-1.174555804,9.107590221,0.084605096,7.871329398,8.006179356,8.223954294,8.61818018,9.107590221,9.661760324,10.22756595,10.60217203,10.86190554
"CDC","HTWT",1,"[74,75)",-1.122323639,9.337865054,0.083930435,8.07478203,8.213087629,8.436178609,8.839170822,9.337865054,9.900311537,10.47201035,10.84904795,11.10976332
"CDC","HTWT",1,"[75,76)",-1.070302348,9.566453061,0.083249631,8.277190538,8.418903651,8.647219687,9.05877667,9.566453061,10.13679255,10.7139859,11.09320847,11.35475136
"CDC","HTWT",1,"[76,77)",-1.019617172,9.793482492,0.082572421,8.478641037,8.623706299,8.857150596,9.277079452,9.793482492,10.37143354,10.95388092,11.33517576,11.59749766
"CDC","HTWT",1,"[77,78)",-0.971544123,10.01909902,0.081908788,8.679234065,8.82758712,9.066055489,9.494172583,10.01909902,10.60449286,11.19212443,11.57552036,11.83868308
"CDC","HTWT",1,"[78,79)",-0.927495981,10.24346467,0.081268832,8.879084281,9.03065003,9.274029292,9.710160711,10.24346467,10.83625465,11.42918192,11.81485555,12.07903468
"CDC","HTWT",1,"[79,80)",-0.889046221,10.46675386,0.080662561,9.078322619,9.233012616,9.481177715,9.925157686,10.46675386,11.06702353,11.66554993,12.05383282,12.3193224
"CDC","HTWT",1,"[80,81)",-0.857844783,10.6891553,0.080099785,9.277093118,9.434804244,9.68761705,10.13928821,10.6891553,11.29712459,11.90175234,12.29313502,12.56034996
"CDC","HTWT",1,"[81,82)",-0.835600041,10.91086924,0.079589888,9.475553729,9.636166759,9.893474476,10.35268693,10.91086924,11.52689868,12.13833477,12.53347134,12.80295084
