"CHART","VAR","SEXF","AGEGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","BMI",1,"[225,226)",-2.34768,21.49133529,0.148120633,17.34501435,17.72499741,18.36895919,19.64651429,21.49133529,24.08288851,27.63109226,30.84911253,33.77609435
"CDC","BMI",1,"[226,227)",-2.350773286,21.51187918,0.148301619,17.35907462,17.73946435,18.38419225,19.66357958,21.51187918,24.11028624,27.67242239,30.90861047,33.8575561
"CDC","BMI",1,"[227,228)",-2.353444725,21.53170989,0.148502355,17.37202667,17.75285625,18.39840811,19.67974776,21.53170989,24.13724646,27.71372396,30.96849476,33.93984372
"CDC","BMI",1,"[228,229)",-2.355677743,21.55082155,0.148723546,17.38384594,17.76515018,18.41158663,19.69500438,21.55082155,24.16377555,27.75501954,31.02880054,34.02300086
"CDC","BMI",1,"[229,230)",-2.35745607,21.56920824,0.148965902,17.39450778,17.77632308,18.42370753,19.70933491,21.56920824,24.18988006,27.7963321,31.08956357,34.10707184
"CDC","BMI",1,"[230,231)",-2.358763788,21.58686406,0.149230142,17.40398745,17.78635182,18.43475047,19.72272474,21.58686406,24.21556667,27.83768505,31.1508203,34.1921017
"CDC","BMI",1,"[231,232)",-2.359585369,21.60378309,0.149516994,17.41226013,17.79521318,18.44469501,19.73515921,21.60378309,24.24084219,27.87910223,31.21260782,34.27813617
"CDC","BMI",1,"[232,233)",-2.359905726,21.61995939,0.149827195,17.41930091,17.80288385,18.45352064,19.74662357,21.61995939,24.26571357,27.92060786,31.27496389,34.3652217
"CDC","BMI",1,"[233,234)",-2.359710258,21.635387,0.150161492,17.42508482,17.80934044,18.46120675,19.757103,21.635387,24.29018788,27.9622266,31.33792691,34.45340544
"CDC","BMI",1,"[234,235)",-2.358980464,21.65006126,0.150520734,17.42958448,17.81455755,18.46773133,19.76658246,21.65006126,24.31427499,28.00398629,31.40153631,34.54273066
"CDC","BMI",1,"[235,236)",-2.357714508,21.6639727,0.150905439,17.43278087,17.81851675,18.47307706,19.77504736,21.6639727,24.33797514,28.04590512,31.46583097,34.6332581
"CDC","BMI",1,"[236,237)",-2.355892424,21.67711736,0.151316531,17.43464513,17.82119134,18.47722102,19.78248242,21.67711736,24.3613,28.08801335,31.53085181,34.72502979
"CDC","BMI",1,"[237,238)",-2.353501353,21.68948935,0.151754808,17.43515168,17.82255737,18.48014209,19.78887249,21.68948935,24.3842575,28.13033767,31.59663995,34.81809511
