"","ITER","SEXF","AGEGRP","HTWT_COR"
"328",10,1,"[36,48)",0.763504002064236
"329",10,0,"[48,60)",0.816567541505408
"330",10,1,"[48,60)",0.818222772386793
"331",10,0,"[60,72)",0.808088551197901
"332",10,1,"[60,72)",0.793959400084719
"333",10,0,"[72,84)",0.797897755785571
"334",10,1,"[72,84)",0.748763414013718
"335",10,0,"[84,96)",0.743991253750992
"336",10,1,"[84,96)",0.671565020743242
"337",10,0,"[96,108)",0.684184944607546
"338",10,1,"[96,108)",0.653337048703175
"339",10,0,"[108,120)",0.660732087954761
"340",10,1,"[108,120)",0.667383546518292
"341",10,0,"[120,132)",0.669743920816839
"342",10,1,"[120,132)",0.66919481141176
"343",10,0,"[132,144)",0.718644660514442
"344",10,1,"[132,144)",0.642125984750366
"345",10,0,"[144,156)",0.660905975681316
"346",10,1,"[144,156)",0.552512117170035
"347",10,0,"[156,168)",0.571798137430585
"348",10,1,"[156,168)",0.501514249263957
"349",10,0,"[168,180)",0.503312804246065
"350",10,1,"[168,180)",0.369212101817263
"351",10,0,"[180,192)",0.456782781007964
"352",10,1,"[180,192)",0.360183143654423
"353",10,0,"[192,204)",0.443026209848481
"354",10,1,"[192,204)",0.290904764998932
"355",10,0,"[204,216)",0.4347696019084
"356",10,1,"[204,216)",0.300966542924613
"357",10,0,"[216,228)",0.377175187021106
"358",10,1,"[216,228)",0.237844646640481
"359",10,0,"[228,240)",0.388400494789303
"360",10,1,"[228,240)",0.132634376406463
